VALUES,CPU,GPU
100,31726,23190
200,68803,14018
300,116904,69182
400,162996,68779
500,208002,68843
600,253204,127347
700,301441,127599
800,350144,127572
900,399946,127195
1000,463391,126916
1100,505670,191992
1200,567644,189987
1300,611880,190708
1400,669387,190039
1500,726074,190382
1600,774135,190098
1700,827800,190882
1800,891847,192801
1900,932617,191776
2000,992977,191597
2100,1050361,259728
2200,1110885,261138
2300,1175213,260422
2400,1257512,260068
2500,1291237,275683
2600,1325585,260854
2700,1411266,261929
2800,1469680,259977
2900,1512692,260071
3000,1583531,259934
3100,1622703,260873
3200,1669158,259717
3300,1739248,261146
3400,1802749,260100
3500,1880327,260285
3600,1903790,260133
3700,1952565,260545
3800,2042243,260315
3900,2066941,260553
4000,2155121,259748
4100,2211540,337163
4200,2264012,335221
4300,2361094,344699
4400,2443423,344098
4500,2532698,340707
4600,2543043,333387
4700,2561343,338160
4800,2639265,335223
4900,2708188,335685
5000,2717572,334604
5100,2789412,335097
5200,2897444,337022
5300,2901049,334838
5400,3012271,337242
5500,3055932,337143
5600,3086402,336670
5700,3158083,337581
5800,3237328,337741
5900,3287431,338382
6000,3334184,335785
6100,3446707,337342
6200,3458124,336443
6300,3518979,335150
6400,3609017,335803
6500,3681380,337646
6600,3762150,338953
6700,3812158,336081
6800,3883493,334808
6900,3934379,336378
7000,3959312,336396
7100,4015868,336777
7200,4088057,335897
7300,4156560,335871
7400,4212078,335522
7500,4320643,335784
7600,4316210,333276
7700,4410036,336828
7800,4441713,337160
7900,4509633,334129
8000,4655683,334847
8100,4663591,335980
8200,4760969,415988
8300,4768395,418600
8400,4896053,418127
8500,4870891,417512
8600,4977821,419612
8700,5025753,418116
8800,5047041,417579
8900,5198347,422206
9000,5194338,416746
9100,5346313,417143
9200,5444585,418172
9300,5394211,418696
9400,5445336,416627
9500,5521789,418639
9600,5800702,422988
9700,5629559,422609
9800,5785619,417679
9900,5831274,425005
10000,5942166,422885
