VALUES, FULL GPU, FULL CPU, FULL CPU MT, GPU-CPU, GPU-CPU MT
100,8000,1336,69932,5737,76231
200,8818,2645,75160,7642,102484
300,8031,4159,99009,12920,102183
400,8022,5258,95371,9865,126885
500,8099,7228,103949,11443,112836
600,9271,15518,100927,19164,120457
700,8121,9824,107671,14400,120870
800,8688,10813,109270,16437,126803
900,8094,12852,122943,16329,126973
1000,8726,23312,111957,18792,124936
1100,8018,14405,117323,29562,123649
1200,7895,15614,117157,18340,121193
1300,8416,17110,138118,19735,130124
1400,7962,18696,131140,26556,125053
1500,8680,21102,125653,19283,134628
1600,8651,37856,129731,23198,124973
1700,7970,22094,140459,20176,132071
1800,8519,23448,131644,19397,130132
1900,8141,24898,136926,21461,124400
2000,7958,26531,142440,28726,123497
2100,8075,27385,138208,19511,142399
2200,9080,29267,148007,18643,127138
2300,8016,29881,149996,20888,147716
2400,8081,31278,150739,19509,129178
2500,7871,33403,150070,19300,126536
2600,9503,64305,145298,29173,135724
2700,8395,35973,145784,18383,127949
2800,7931,37912,153884,19828,124421
2900,7924,37998,155662,20718,130148
3000,7942,41008,149753,18772,125369
3100,8204,47745,150768,19652,133262
3200,7972,43343,153589,20096,129210
3300,8115,43303,150429,18793,136318
3400,8186,44549,150703,19346,124635
3500,8009,45698,156215,18950,127723
3600,8124,47116,155815,19052,128210
3700,8939,84679,155664,18861,148988
3800,8282,49389,150032,19685,123973
3900,10733,54589,163321,19892,131534
4000,8143,56262,154355,21188,128038
4100,8653,72478,201520,20462,125828
4200,10448,54677,155581,19597,134582
4300,8264,67387,192689,21855,130522
4400,8113,109152,173122,19412,134682
4500,8522,59952,160578,19458,132952
4600,9553,87819,191384,21433,138231
4700,8433,73028,162826,18798,139555
4800,8649,84528,203406,24200,147371
4900,8824,86012,186212,19932,117167
5000,8000,70799,163283,19747,119345
5100,8015,71199,161184,19073,137431
5200,8183,67944,165906,28675,150935
5300,8056,75492,162436,19943,120055
5400,8160,81520,165067,19934,119186
5500,8073,77051,162975,20021,123841
5600,10232,75896,169464,21442,124543
5700,8777,88835,164957,20410,120322
5800,8163,83440,170923,20450,130167
5900,8013,95696,173074,20965,127733
6000,8129,86662,174153,21169,125116
6100,8085,87502,173156,19932,134656
6200,9394,100577,189957,20643,131088
6300,9231,147167,183876,20426,137468
6400,9082,109373,212557,23701,150849
6500,8614,110532,215942,23484,145511
6600,8604,112810,219297,22103,129455
6700,8125,87841,192675,21832,129801
6800,8082,122485,182183,19135,139739
6900,8159,93328,198143,19072,133323
7000,8300,91576,186278,20477,124587
7100,8104,93979,194793,19552,132703
7200,8162,94313,181521,20060,128105
7300,8069,109345,179539,20349,133705
7400,8416,103911,194143,20560,132361
7500,8243,100459,197377,21009,131306
7600,8201,107195,183128,20335,121533
7700,8444,117521,186497,19646,137695
7800,8831,159540,193416,19509,118469
7900,8274,103481,201031,26961,151438
8000,8871,144140,232777,24842,142235
8100,8845,142805,212168,20474,122263
8200,8124,107697,186731,19675,122543
8300,8348,149719,191464,20395,122672
8400,8262,118251,184855,20940,130426
8500,8215,119634,183108,20657,128721
8600,8262,136310,198653,21720,133347
8700,8457,168212,203461,20579,117887
8800,8446,120709,194569,20651,128192
8900,8131,118246,191847,20717,125903
9000,8322,145044,186256,21129,127571
9100,8201,128332,193039,23214,127619
9200,8708,120900,196046,20917,121541
9300,8221,165188,198420,19962,124704
9400,8230,154094,207898,25198,153793
9500,8853,168440,242313,25237,141216
9600,8860,170321,244710,25098,145397
9700,8822,176680,243670,28847,143284
9800,8914,213861,221188,25020,113923
9900,8488,162305,199012,20009,122897
10000,8288,131620,231172,25176,141874
10100,8782,168870,195719,20578,121009
10200,8135,170059,200486,20128,126036
10300,8325,166413,219652,21448,117041
10400,8495,137495,224157,25847,145766
10500,8757,185537,216914,23194,132820
10600,8270,141770,203388,19817,131552
10700,8255,158132,203012,21350,137344
10800,8196,156396,201027,21303,124939
10900,8595,163357,199789,21687,122762
11000,8167,160061,202417,21626,128011
11100,8279,171956,218387,20136,131896
11200,8295,179993,236909,20757,123496
11300,8139,153943,210136,21585,118611
11400,8687,161356,229372,25665,116165
11500,8168,162516,208203,21717,129281
11600,9514,187159,229450,22792,125886
11700,8306,183529,216670,21656,115722
11800,8234,155991,203476,21180,122864
11900,8162,168331,198709,21341,122961
12000,8208,170088,201873,20610,133396
12100,8166,164365,211977,22647,130860
12200,8316,198785,214624,23050,120503
12300,9372,193579,225190,20940,117928
12400,8125,162880,219973,20200,127443
12500,8314,186988,217007,21332,112946
12600,8277,211917,211133,21294,120891
12700,8342,180752,212106,21429,117239
12800,8277,181637,211375,21713,118277
12900,8599,264199,237183,22996,115460
13000,8283,170696,224713,21150,120618
13100,8035,177222,247621,26115,144467
13200,8744,220174,227535,22549,116268
13300,8360,189680,212799,20638,124216
13400,8276,189396,207578,21396,113737
13500,9136,190881,210790,21675,122468
13600,8333,194172,218492,21848,112695
13700,8914,193696,217126,23945,115374
13800,8255,182280,224267,21023,116841
13900,8271,201345,222101,22099,129562
14000,8228,187008,231924,21387,121704
14100,8309,221730,234135,21858,120418
14200,8630,229289,255929,24565,128139
14300,8834,187975,224548,20802,123057
14400,8965,255535,240075,21216,135945
14500,9782,256597,280081,23353,125274
14600,8391,231403,244780,20798,134841
14700,8901,265222,263966,21687,117784
14800,8317,210875,245787,20846,120496
