VALUES, FULL GPU, FULL CPU, FULL CPU MT, GPU-CPU, GPU-CPU MT, FULL GPU ATOMIC
100,8360,1379,61146,5795,72756,4704
200,7901,2708,69186,7086,80816,4321
300,7826,4039,77873,9139,99204,4196
400,7901,5309,89514,9730,100677,4226
500,8439,6704,97054,12210,106431,4789
600,8182,7964,96515,14889,111665,4149
700,8155,11110,111248,15792,122026,4910
800,10381,11400,104294,15246,116945,4784
900,11182,11904,105700,17845,127631,4148
1000,8091,14306,113233,17929,125826,4205
1100,8400,15763,111404,19409,118142,5009
1200,8037,17064,117239,19347,122551,4720
1300,7944,18544,114022,19601,123740,4311
1400,7904,20305,115220,21480,119849,4428
1500,8569,22452,134135,21211,123507,5146
1600,7948,24166,129231,25795,125442,4591
1700,7882,22745,118936,19006,120266,4356
1800,7890,23828,149004,21575,132817,4404
1900,8235,30598,126516,18670,126424,4647
2000,8000,48299,127725,19975,125143,4949
2100,8243,30750,126793,20328,119333,4650
2200,7938,29765,131716,18753,122386,4556
2300,9137,37437,138170,19478,131589,5573
2400,8047,31828,132358,19135,121528,4593
2500,8207,33758,131996,18661,121649,4501
2600,7971,36579,132822,21333,125718,4525
2700,8688,40382,145057,20266,126720,5320
2800,8864,41866,143904,20838,127237,5310
2900,8060,43408,150223,20504,124756,4716
3000,8014,45489,144063,20577,125240,6987
3100,7985,46515,140562,19704,124046,4785
3200,8199,50579,152536,20448,116421,4856
3300,7863,46750,137936,20284,120110,4721
3400,8665,48226,151398,19437,124282,5307
3500,8122,47759,141479,18959,121495,4901
3600,7920,54025,172498,20671,135213,4777
3700,8424,55479,154443,28909,128985,5436
3800,7954,57017,152263,20818,123561,4793
3900,8045,58409,153931,20586,125633,4825
4000,7968,60236,157889,22059,123520,4906
4100,7977,62177,161719,19312,139300,4954
4200,10445,66149,170329,21732,128695,5022
4300,8152,67984,166458,20198,114386,5024
4400,8076,67432,153685,19864,115030,4947
4500,7975,63714,152166,20190,118458,4921
4600,10087,65895,157991,23837,125669,5516
4700,8162,71645,159684,19886,121873,4900
4800,7835,63285,189876,24202,150977,4908
4900,8341,86959,193517,22061,128512,5254
5000,8359,79067,179504,19936,120127,5595
5100,8064,67540,173655,19971,129148,4957
5200,7950,68772,164071,19823,148082,5089
5300,8283,94234,202306,23935,149822,5108
5400,8406,95966,171971,21574,140490,5321
5500,8690,98008,201551,24364,150338,5800
5600,9617,100019,203045,23597,119194,6386
5700,8664,76033,173576,20080,126468,5685
5800,8182,78949,161423,21166,123987,5120
5900,8052,85992,163783,19257,127180,5145
6000,7983,85354,165455,20552,125897,5144
6100,10512,96825,188688,26951,132861,5251
6200,8322,99451,193799,22050,130370,6922
6300,8198,102611,188271,25003,129575,5416
6400,7853,84833,192536,24233,145419,5377
6500,8627,87784,183037,20565,118780,5351
6600,7888,87178,182574,20160,123297,5258
6700,7980,95599,174939,20470,123202,5302
6800,8177,96641,193353,21050,122738,5495
6900,8142,98214,172894,20336,118825,5297
7000,7992,100851,172490,20750,123085,5329
7100,8345,93988,173140,22930,116371,5455
7200,8871,103430,179056,24159,121910,6021
7300,7984,105970,174652,20706,128593,5563
7400,8097,98307,190276,21333,128700,5523
7500,7949,101606,187586,23701,126932,5517
7600,8170,102863,182021,23490,128156,5492
7700,7961,125443,192043,19486,133310,5587
7800,8675,139209,222322,22553,126138,5791
7900,8404,125368,200483,22495,129539,5852
8000,8216,106714,182340,19590,118891,5571
8100,8032,107397,210474,24902,165456,5461
8200,9760,146984,220638,25976,126264,6937
8300,8533,131615,211209,22343,128421,5888
8400,8152,111856,192946,20498,137465,5659
8500,9007,148127,218689,20332,113708,6634
8600,8285,126238,186998,20776,120118,5722
8700,8887,126971,189902,26348,122029,5747
8800,8030,125980,193999,26148,115204,5752
8900,8184,127062,193247,20667,118725,5643
9000,8115,128662,197678,22646,134751,5645
9100,8239,144952,205388,22452,128167,5746
9200,8439,143243,197876,22323,124742,5751
9300,8340,150925,217785,25518,128394,5989
9400,8403,149992,219765,21685,114093,6315
9500,8325,136356,192164,20941,123047,5881
9600,8239,139266,193526,20431,120724,6109
9700,8680,151048,198560,19711,125553,6356
9800,8376,130825,208166,24667,146281,5852
9900,8374,177101,249021,22942,121086,6144
10000,8464,162676,219355,22971,127275,6093
10100,8345,161709,213584,26026,123425,6100
10200,8533,196167,200466,20661,119405,6077
10300,8298,164416,231557,22767,116251,6096
10400,8393,138439,202984,20836,123522,6502
10500,8651,167271,216773,23098,124869,7055
10600,8306,168587,219055,22844,124924,6091
10700,9258,171101,213532,20343,142284,7019
10800,9263,152018,211504,21389,117231,6921
10900,8423,179206,234249,22728,129048,6103
11000,8353,174994,219761,23108,131882,6165
11100,8397,177003,225445,22989,124185,6200
11200,8367,187794,213480,24168,111215,6222
11300,8397,200004,215178,21647,116277,6513
11400,8296,168217,204681,21702,123791,6311
11500,8550,156736,206598,21199,118411,6518
11600,8108,156983,208699,20767,127479,6358
11700,8055,156569,205172,20389,119685,6251
11800,8373,177852,213891,22394,116511,6328
11900,8264,185346,213755,21303,119943,6243
12000,8106,163649,217211,20475,130981,6218
12100,8627,216703,253183,21519,111633,6434
12200,8354,174624,206276,21336,115119,6876
12300,8833,176866,206869,20742,123790,7084
12400,8280,182024,215202,27822,118166,6341
12500,8295,204078,220867,21234,122577,6901
12600,8233,201277,238978,23369,126608,6451
12700,8382,202709,239585,23616,127366,6592
12800,9114,204826,224588,20424,114983,7349
12900,8138,172241,249960,23544,126962,6355
13000,8440,211411,246167,23161,123213,6954
13100,8411,197969,230096,22946,118288,6593
13200,8411,176106,222246,23023,117188,6468
13300,8122,177319,220319,20964,133504,6423
13400,8504,239418,224256,22116,130881,6825
13500,8604,242408,248761,20575,129202,6822
13600,8825,307294,272372,23391,126853,7205
13700,8667,218076,237970,22931,116446,7482
13800,8350,188056,222123,22539,124144,6762
13900,8449,201778,460931,23007,323270,6641
14000,8173,221539,258874,20371,113922,6835
14100,8899,188991,221954,21196,121222,6531
14200,8073,193983,235646,20919,117823,6667
14300,8301,206180,223858,21413,120687,6846
14400,8135,197662,262844,25305,136650,6739
14500,8600,252247,271212,23008,121466,7048
14600,8356,199685,233003,22836,115147,6926
14700,8670,210578,222850,21857,117127,7184
14800,8192,212465,223729,22723,118099,6789
14900,8178,213814,224297,22014,114186,6803
15000,8444,217273,228482,21337,120348,7033
15100,8323,224062,230458,22260,115301,7027
15200,8851,223290,231423,22123,116098,7435
15300,8412,229359,243907,23086,125692,6787
15400,9183,239650,238333,21107,118182,7851
15500,8737,206966,256399,22294,115562,7072
15600,8142,223414,226547,21109,121804,7218
15700,8694,228372,231088,21562,116527,7209
15800,8675,211128,235653,22066,113861,7256
15900,8395,227835,246634,21833,135732,7024
16000,10795,285622,224138,21139,116660,7768
16100,8175,215602,237450,20897,115096,7004
16200,8953,236024,242020,22134,115788,7353
16300,8811,258849,237195,21892,118462,7646
16400,8278,223627,274982,25942,139604,7096
16500,8701,279852,235572,22357,111667,7543
16600,8360,282605,249485,23898,126033,7137
16700,8435,264824,236811,21296,138832,7362
16800,8640,256588,239378,21091,116854,7268
16900,8776,299033,245503,21494,116920,8205
17000,8316,230791,240474,21153,125789,7228
17100,8468,245025,236272,22491,112568,7128
17200,8263,252969,230837,22245,115120,7194
17300,8316,247655,239638,22173,114111,7161
17400,8320,248988,243285,20963,132794,7186
17500,9741,303600,237251,21741,135625,8488
17600,8936,310387,243762,21468,123516,7649
17700,8434,293727,246293,22340,111862,8169
17800,8192,255122,246510,22253,115874,7336
17900,8935,256505,249031,21729,115708,8101
18000,9059,288529,244578,24515,124483,9513
18100,8306,285856,256633,22437,113839,7461
18200,8221,244235,256593,21744,118042,7357
18300,8287,244301,246539,21586,118051,7340
18400,8592,248587,263274,21408,119837,7413
18500,8268,246246,248911,21539,118719,7512
18600,8269,247459,257516,21663,117717,7525
18700,8265,261075,264721,27523,129577,7475
18800,8386,304666,256412,21503,118235,7755
18900,8242,252043,250936,21573,132978,7496
19000,8966,321175,249769,22926,120348,8231
19100,8350,259691,247634,22476,113806,7495
19200,8326,255820,248901,22859,115381,7486
19300,8311,262978,252571,27449,127925,7961
19400,8408,314163,266650,22725,112543,7567
19500,8413,287187,259709,21546,129013,7795
19600,8803,373150,261271,23335,115598,8054
19700,9112,281943,260311,22855,114571,11218
19800,8366,281715,250982,21880,117846,7695
19900,8327,272132,258896,22667,116650,7703
20000,8249,266196,260064,22217,120510,7669
20100,8330,283418,246383,22303,115112,7799
20200,8297,293018,258313,21936,137957,7659
20300,8670,341443,253178,22612,123488,8128
20400,8347,271425,250515,21688,123260,7926
20500,8386,292507,259097,22938,117624,7914
20600,8300,274429,258065,21724,115623,7942
20700,8294,278630,261215,25181,119552,8073
20800,8539,311912,253650,21747,119084,7951
20900,8217,278296,271633,22667,118189,7907
21000,8374,286886,258078,21917,124766,7950
21100,8750,369665,257333,23271,116955,8212
21200,8500,282238,262230,22423,117567,7934
21300,8434,283510,263670,21986,122095,8103
21400,8901,302858,267698,23169,114930,8528
21500,8461,302841,273669,21738,119664,8091
21600,8384,288012,264324,23162,119631,9823
21700,8426,316952,280760,23443,117269,8092
21800,8507,308779,259337,23082,123737,8144
21900,8359,298274,264258,21979,118667,7993
22000,8434,293068,271465,21981,128684,8043
22100,8808,380980,257640,22483,119504,8352
22200,8457,295820,267519,22416,132657,8075
22300,8795,390422,257698,22990,123069,8371
22400,8534,365464,268737,22169,118883,8280
22500,8356,317663,263397,23533,122471,8078
22600,8458,322155,266796,23097,116339,8254
22700,8769,310356,258164,24130,118610,8508
22800,8690,306409,279201,23588,116259,8383
22900,8387,305435,270019,22945,117295,8221
23000,8405,345921,273793,22559,132684,8300
23100,8815,387534,266409,23281,117349,8435
23200,8357,309900,269905,22101,117365,8207
23300,8364,310605,274818,23348,114096,8378
23400,8431,314848,262923,22646,121827,8144
23500,8439,313343,272513,22213,119999,8317
23600,8422,332798,267629,25398,127631,8392
23700,9575,363416,267409,23053,116902,9373
23800,8427,336681,278407,22603,120776,8446
23900,8894,399874,267695,23741,113758,8793
24000,8528,332268,265535,23135,131371,8541
24100,8786,415725,268680,23214,120954,8845
24200,8615,349203,265958,25388,130560,8688
24300,8780,375959,277560,22511,120762,8595
24400,8479,325016,273606,23954,120162,8447
