VALUES, FULL GPU, FULL CPU, FULL CPU MT, GPU-CPU, GPU-CPU MT
100,11368,1340,65978,5685,69636
200,26802,2699,71553,7115,90304
300,17830,4262,79749,10433,91256
400,26607,5286,87136,9998,118323
500,40130,7699,96133,10999,100943
600,26107,7860,98447,14199,114151
700,22101,9168,106743,18801,131090
800,26826,14171,123932,17257,127118
900,33625,14302,111236,19182,124996
1000,39772,15581,116512,20677,120720
1100,44957,17186,111883,18373,113063
1200,42678,15618,108970,18471,114050
1300,42361,16960,130507,23270,143903
1400,42474,24558,138267,18742,117211
1500,42376,19510,114654,18585,112058
1600,42160,22362,110715,20150,113351
1700,41813,23085,117701,18564,116816
1800,42038,23430,126935,21116,120880
1900,41992,29514,129724,21114,124614
2000,42109,31156,128101,21174,120891
2100,42191,29378,124761,18763,112561
2200,42637,28759,141441,21409,117975
2300,42048,30183,128975,18173,131498
2400,43160,42037,138453,19581,112801
2500,42215,34925,125681,19367,113699
2600,42232,36390,129031,19646,108556
2700,42058,37701,123349,19238,120182
2800,42241,39872,124126,19675,109852
2900,42073,40546,124392,19866,108352
3000,42414,41727,131661,18792,117530
3100,42869,48087,144329,21654,122650
3200,42645,69328,477330,18876,148743
3300,42538,42957,159286,18966,114906
3400,42256,46303,144027,21630,114268
3500,42711,54270,152880,21490,125759
3600,42922,56030,148391,20355,116062
3700,42291,50512,140058,19400,129787
3800,42648,69430,172927,24026,138950
3900,42368,60873,150300,21921,129298
4000,42455,61991,160029,21726,132786
4100,43280,63680,161762,21432,134100
4200,42437,65150,160856,21688,124449
4300,42601,66979,167223,21477,120290
4400,42744,69804,164600,21788,122349
4500,44802,69913,165463,21418,126680
4600,42602,71721,163019,21575,125266
4700,42589,74571,159774,21859,118480
4800,42717,62348,159382,20237,114428
4900,42559,68510,148679,20268,115793
5000,42652,69864,147555,20059,116328
5100,43238,71634,146200,20048,112330
5200,42751,73307,146052,20616,111477
5300,42854,68826,160181,21546,127774
5400,42906,84343,175490,21581,122632
5500,42777,86995,162636,19499,121052
5600,43465,80302,157518,20778,115700
5700,42821,82026,162382,20400,115682
5800,42904,83288,157707,20591,116212
5900,42960,79981,159974,19276,116972
6000,42897,80320,160071,21218,119153
6100,42941,81169,157232,19899,116324
6200,43020,81119,166777,19099,117055
6300,43184,109937,208454,24160,142055
6400,43132,112345,168193,19436,141082
6500,44206,114611,195680,24587,133653
6600,43782,87507,167294,19972,112819
6700,43312,85610,171732,20510,115867
6800,43065,98098,166454,19072,117525
6900,43010,89663,196287,24405,139905
7000,43140,122373,200004,24644,133990
7100,42835,99287,168548,20306,116151
7200,43402,100643,165131,20251,114924
7300,44199,103167,169409,20283,111189
7400,43314,103430,168437,20530,116734
7500,43078,104992,163781,20831,119234
7600,43657,107904,165792,20482,118975
7700,43616,100344,170944,19487,114087
7800,43198,101678,178348,19673,137684
7900,43738,138479,215054,24353,142503
8000,43487,140138,194449,20725,115666
8100,43362,105148,172940,19958,124800
8200,43398,127638,198003,22240,128357
8300,43304,129413,198408,22595,128057
8400,43674,131174,180459,20294,122315
8500,43361,110647,175708,20364,119367
8600,43321,121800,178542,20668,112426
8700,43229,122131,175929,20536,117479
8800,43113,123643,175778,20671,116729
8900,43601,119340,189306,20737,125639
9000,43673,158395,222944,24697,141631
9100,43641,160146,217265,25096,116036
9200,43349,120652,196786,23333,127225
9300,43959,147783,200397,22713,123089
9400,43907,133553,181104,21085,117159
9500,44405,125039,201280,26886,150190
9600,44073,169390,231698,25035,133580
9700,43992,170997,218780,25344,130126
9800,43814,153979,203766,22365,131894
9900,44285,156409,201305,23411,118009
10000,43765,131167,185549,20098,117789
10100,43855,132391,195087,20808,117031
10200,43898,143839,182483,20608,113827
10300,43655,145228,189966,19631,118770
10400,43603,136420,229816,24914,138402
10500,44196,185046,231333,25439,118874
10600,44017,138111,197733,20222,127814
10700,44856,152032,200348,20970,115650
10800,44012,152373,192064,22926,117118
10900,43948,142952,200174,20882,118827
11000,44180,144484,196559,20958,121455
11100,44389,156539,193552,20509,120989
11200,44083,146174,197309,20482,122864
11300,44121,187799,218817,21827,113433
11400,43817,148865,197177,20205,123605
11500,44186,162083,192615,21261,114821
11600,44125,167706,195861,21485,115809
11700,44470,169060,192228,20448,119104
11800,44260,153071,199031,22130,121808
11900,44290,176638,201792,22265,118646
12000,44448,161239,193763,22836,124073
12100,44315,167089,200013,22510,116363
12200,44228,166857,205375,20889,118284
12300,44316,161591,209949,25402,136174
12400,44452,220500,244149,23017,122055
12500,44572,195801,218956,22915,126123
12600,44442,197854,219250,23303,116448
12700,44546,165597,211562,22487,117873
12800,44651,202622,226525,23763,122199
12900,44615,201960,217139,21603,114349
13000,44575,167563,211129,20507,116193
13100,44788,172216,205322,21682,131917
13200,44665,232601,267096,25254,146615
13300,44708,234401,249597,22911,121454
13400,44061,199350,209264,21038,119655
13500,45151,191324,204264,22058,122729
13600,44666,178463,210289,23005,116538
13700,44519,188865,203974,22259,115005
13800,44728,181383,208206,22754,121021
13900,44522,211827,223060,21276,118443
14000,44679,213431,222499,22895,117336
14100,44532,209538,222876,22720,119224
14200,45030,211383,220610,21018,113494
14300,44746,212287,221683,21611,116742
14400,44485,188804,245691,27838,138197
14500,44642,255649,218330,21236,116063
14600,44687,196296,219419,23430,112931
14700,44816,197335,216923,21070,120702
14800,44800,208985,209639,22001,114921
14900,45476,211034,213465,21719,117119
15000,44858,211421,210690,24364,115038
15100,44822,212842,210275,21803,114432
15200,44832,214235,212641,22790,111662
15300,44877,214143,220161,20829,122630
15400,44639,234647,219578,21545,118355
15500,44608,203554,228579,23495,122628
15600,45008,237746,220584,20480,115466
15700,45024,232971,230552,23529,118458
15800,45166,228794,228849,21898,112988
15900,44852,224040,225470,22477,115646
16000,45052,219398,227203,21934,124115
16100,45394,271663,226131,22445,116415
16200,45392,212021,227126,21343,119854
16300,44837,229790,225283,21353,118545
16400,44770,237867,224111,22465,115726
16500,44835,237573,225452,24123,129423
16600,45707,215610,263842,26351,136589
16700,45321,289393,232344,23667,128271
16800,45165,263592,236631,21263,115262
16900,45067,221626,261465,26279,135997
17000,45393,287872,232003,20775,119483
17100,45987,293260,230393,21935,120414
17200,45237,224632,237762,21359,118359
17300,45496,225171,237676,21638,118780
17400,45135,245176,223942,22013,121623
17500,45022,226845,238830,21979,116674
17600,45506,232883,237255,22753,112463
17700,45501,250868,237407,22164,112523
17800,45393,246578,235067,22058,116402
17900,45458,232899,235209,22229,116362
18000,45211,260761,242912,21437,126865
