VALUES, FULL GPU, FULL CPU, FULL CPU MT, GPU-CPU, GPU-CPU MT, FULL GPU ATOMIC
100,8123,1356,64252,5901,64874,4292
200,8056,2676,69713,7230,89081,4197
300,8205,4000,79788,8559,93723,4229
400,10423,5311,96831,10483,106784,4210
500,8229,6677,89092,11475,109334,4825
600,10388,8000,104306,13226,110805,4532
700,8066,9897,96686,14011,113407,4196
800,8184,11386,103043,16313,115845,4158
900,8213,14251,109896,19454,159140,4291
1000,8524,15939,128468,21311,141350,4823
1100,8132,17715,121722,21331,122953,4406
1200,11070,15874,110365,21026,116133,4362
1300,8470,17415,109444,19214,117688,4947
1400,8217,22168,129941,24969,122388,4489
1500,8126,19783,113070,20117,121774,4560
1600,8554,21121,122549,18474,129167,4463
1700,8836,24896,134559,18461,120141,4845
1800,8113,23838,148154,24001,152827,4343
1900,9043,34661,152000,21276,154311,5219
2000,8214,32769,127184,18403,137594,4494
2100,8592,37397,166349,21931,137954,4782
2200,8251,34675,150260,21575,142999,4660
2300,8203,36394,147283,22538,128702,4717
2400,8110,32184,141891,20302,117779,4491
2500,7961,33093,147071,24046,144525,4535
2600,8481,34267,139958,18666,134761,4663
2700,8269,43172,149993,21836,130274,4686
2800,8457,44320,143005,19753,129936,4723
2900,8226,43505,140387,19971,123549,4867
3000,8059,39750,150975,19947,118339,4585
3100,8165,44083,140873,20247,118274,5218
3200,8209,45432,144009,18565,127484,5052
3300,8224,55075,167876,23096,140237,4865
3400,8366,62019,167207,20668,123828,5081
3500,8083,52209,150824,20670,126402,4848
3600,8138,54105,148754,20896,126041,4752
3700,8218,55426,156218,20806,130084,4878
3800,8148,56890,154370,20942,129798,4803
3900,8090,63126,155957,20713,127744,4852
4000,8008,52819,154149,18811,130580,4795
4100,7980,54621,153922,19052,142540,4890
4200,8274,74428,195328,24263,133884,5152
4300,8677,61936,168690,19991,123429,5658
4400,8130,62348,155614,19947,121172,4972
4500,8078,63998,153369,20062,121978,4903
4600,8504,72225,155061,18798,124663,4981
4700,8128,62230,174740,25882,155792,5128
4800,8340,85265,204208,23953,156015,5298
4900,8272,87144,199447,22072,135655,5009
5000,8624,80898,166454,18734,124387,5510
5100,8512,67591,185706,23774,148390,5065
5200,8409,93454,198464,24223,148867,5483
5300,8278,94246,201007,29734,149017,5341
5400,8373,81097,166374,19496,119915,5244
5500,8113,72962,174807,21496,125092,5120
5600,8412,88686,181594,22734,131994,5412
5700,8486,104440,178503,25143,121410,5880
5800,8217,83128,174074,20109,124253,5179
5900,8335,84293,162218,20241,125737,5157
6000,8176,79199,166948,24666,117436,5376
6100,8594,89126,160155,20063,125930,5827
6200,8224,88438,169317,20542,117181,7691
6300,8212,89914,168946,20347,118223,5358
6400,8410,99927,172828,20318,130967,5333
6500,8642,93292,176440,19606,146254,6184
6600,8219,110854,205464,24352,140031,5330
6700,8228,108451,179236,23513,128318,5561
6800,8194,112830,191440,21938,126919,5328
6900,8162,91888,173452,19359,131272,5317
7000,8356,92419,182996,19951,130757,5388
7100,8485,124279,216104,23944,136322,5614
7200,8350,124040,220200,23841,150039,5663
7300,8312,165652,221598,24901,136044,5772
7400,8405,127619,213343,21763,128292,5832
7500,8325,115067,183852,20888,119605,5759
7600,8408,100643,184710,19768,118132,5765
7700,8294,104623,176876,19779,124314,5462
7800,8130,105999,179575,20445,125917,5527
7900,8151,107061,191998,20934,119367,5529
8000,8194,113843,175655,26549,120961,5477
8100,8360,116194,182911,20386,129867,5598
8200,8239,117679,184694,20583,122796,5638
8300,8205,118384,187501,20839,121206,5655
8400,8308,115880,196035,19759,120261,5753
8500,8163,124340,186056,21080,113585,5684
8600,8683,128001,189124,21457,115058,6253
8700,8215,130142,191488,21448,120000,5801
8800,8381,129178,190395,21077,121124,5697
8900,8647,131435,193413,21515,123450,6381
9000,8196,132331,191381,21171,124986,5819
9100,8239,121818,195836,23460,145885,5736
9200,8449,150846,199045,25856,122983,5758
